text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,frame (Abbie and Dee),frame(Mo and Sam),agreement_column
"Mit Pegida und seinen zahlreichen regionalen Ablegern ist eine rassistische Bürgerbewegung in Teilen des Landes entstanden, die Hetze gegen Geflüchtete und Muslime betreibt.","With Pegida and its numerous regional offshoots, a racist citizens' movement has emerged in parts of the country that engages in agitation against refugees and Muslims.",602.1,,41223,2017,41223_2017_82356,602.1,cultural,cultural,1
"der Zuwanderung von Fachkräften,","the immigration of skilled workers,",602.2,,41113,2025,41113_2025_17516,602.2,economic,economic,1
"Für Massenfluchtsituationen brauchen wir europäische Regelungen, die eine rasche, unbürokratische Aufnahme und einen sicheren Aufenthalt garantieren; alle Mitgliedstaaten müssen Verantwortung übernehmen","In mass refugee situations, we need European regulations that guarantee rapid, unbureaucratic admission and a safe stay; all Member States must take responsibility",201.0,,41113,1998,41113_1998_8455,201,humanitarian,humanitarian,1
"Folter, unmenschliche und grausame Behandlung, Verschleppung und das Betreiben von extraterritorialen Gefängnissen dürfen nicht Teil staatlichen Handelns sein und vom Staat auch nicht geduldet werden.","Torture, inhumane and cruel treatment, deportation and the operation of extraterritorial prisons must not be part of state action and must not be tolerated by the state.",201.0,,41420,2009,41420_2009_50633,201,humanitarian,humanitarian,1
"Wir stehen uneingeschränkt zum Grundrecht auf Asyl, das wir auch als kulturelle Errungenschaft und moralische Verpflichtung der deutschen Nachkriegsdemokratie begreifen.","We stand unreservedly by the fundamental right to asylum, which we also see as a cultural achievement and a moral obligation of Germany's post-war democracy.",201.0,,41320,2002,41320_2002_106418,201,humanitarian,humanitarian,1
Die EU-Grenzen müssen von jedem Mitgliedstaat gegen illegale Zuwanderung und organisierte Einschleusung gesichert werden,EU borders must be secured against illegal immigration and organized smuggling by each member state,605.0,,41521,1998,41521_1998_99110,605,security,security,1
Wir setzen uns auch im Interesse der Betroffenen für zügige Verfahren bei Ausländerbehörden und Verwaltungsgerichten ein.,"In the interests of those affected, we also advocate speedy proceedings at immigration authorities and administrative courts.",303.0,,41521,2013,41521_2013_75937,303,humanitarian,humanitarian,1
- Zwangsumzüge müssen gestoppt werden.,- Forced removals must be stopped.,201.0,,41223,2013,41223_2013_95024,201,humanitarian,humanitarian,1
Nach jahrelangem Stillstand haben die EU-Mitgliedstaaten sich auf eine Reform des Gemeinsamen Europäischen Asylsystems geeinigt; das ist ein Fortschritt.,"After years of stalemate, the EU member states have agreed on a reform of the Common European Asylum System, which is a step forward.",108,,41912,2025,41912_2025_24082,108,humanitarian,humanitarian,1
"Queeren Menschen, die verfolgt werden, muss uneingeschränkt Asyl bzw. Schutz gewährt werden.",Queer people who are persecuted must be granted unrestricted asylum or protection.,201.2,,41223,2021,41223_2021_39840,201.2,humanitarian,humanitarian,1
Das Asylrecht gerät immer wieder ins Visier rechter Kampagnen – und wird von einer ganz großen Koalition von Union über SPD bis zu den Grünen bereitwillig geschleift.,Asylum law is repeatedly targeted by right-wing campaigns - and is willingly dragged down by a very large coalition from the CDU/CSU to the SPD and the Greens.,201.2,,41223,2017,41223_2017_82576,201.2,humanitarian,humanitarian,1
Präventivhaft für ausländische Gefährder und Terroristen,preventive detention for foreign dangerous persons and terrorists,605.1,,41953,2025,41953_2025_1381,605.1,security,security,1
"In rechtlicher Hinsicht fordern wir eine Erweiterung der Befugnisse der Bundespolizei, insbesondere auch in Form einer Erweiterung des § 71 des AufenthG um eine generelle Zuständigkeit der Bundespolizei als Grenzbehörde auch außerhalb von Grenzübergangsstellen.","From a legal perspective, we are calling for an expansion of the powers of the Federal Police, in particular in the form of an extension of Section 71 of the Residence Act to include the general responsibility of the Federal Police as a border authority, including outside border crossing points.",605.1,,41953,2025,41953_2025_1510,605.1,security,security,1
Eine Zuwanderung in die Sozialsysteme lehnen wir ab.,We reject immigration into the social systems.,505,,41521,2021,41521_2021_14704,505,cultural,cultural,1
"Gleiche Bezahlung von Frauen, Beschäftigten mit Migrationsgeschichte und unabhängig von der geschlechtlichen Identität müssen endlich gewährleistet werden – Gender Pay Gap und Migration Pay Gap überwinden!","Equal pay for women, employees with a history of migration and regardless of gender identity must finally be guaranteed - overcoming the gender pay gap and migration pay gap!",503,,41223,2025,41223_2025_71300,503,economic,economic,1
Flughafenverfahren sowie sofortige Zurückweisung an den deutschen Binnengrenzen wollen wir abschaffen.,We want to abolish airport procedures and immediate refoulement at Germany's internal borders.,602.2,,41113,2021,41113_2021_93373,602.2,humanitarian,humanitarian,1
"Wie viel Offenheit und Engagement in unserer Gesellschaft vorhanden ist, zeigen die Vielen, die in der Flüchtlingssolidarität aktiv sind.",How much openness and commitment there is in our society is shown by the many who are active in refugee solidarity.,607.2,,41223,2017,41223_2017_80944,607.2,cultural,cultural,1
Rund 572.000 Ausländer ohne Aufenthaltstitel oder -gestattung lebten laut Ausländerzentralregister Ende 2023 in Deutschland.,"According to the Central Register of Foreigners, around 572,000 foreigners without a residence permit or authorization were living in Germany at the end of 2023.",601.2,,41730,2025,41730_2025_21922,601.2,neutral,neutral,1
Genauso wichtig ist uns die Wahrung der ArbeitnehmerInnenfreizügigkeit in der EU.,Equally important to us is the preservation of the free movement of workers in the EU.,108.0,,41113,2013,41113_2013_35561,108,economic,economic,1
Dagegen wollen wir eine humane und offene Flüchtlingspolitik auf deutscher wie europäischer Ebene.,"In contrast, we want a humane and open refugee policy at both German and European level.",201.2,,41223,2017,41223_2017_82582,201.2,humanitarian,humanitarian,1
ASYL- UND MIGRATIONSPOLITIK,ASYLUM AND MIGRATION POLICY,H,,41953,2025,41953_2025_1171,H,neutral,neutral,1
"Wir wollen diese Einwanderung vernünftig regeln und die Integration fördern, um das friedliche Zusammenleben von Menschen mit unterschiedlicher Herkunft und Religion zu sichern.",We want to regulate this immigration sensibly and promote integration in order to ensure the peaceful coexistence of people with different origins and religions.,607.2,,41113,2017,41113_2017_57953,607.2,cultural,cultural,1
Menschen ohne regulären Aufenthaltsstatus und Nichtversicherte wie etwa Wohnungslose müssen bundesweit Zugang zur Gesundheitsversorgung erhalten.,"People without regular residence status and the uninsured, such as the homeless, must be given nationwide access to healthcare.",504,,41223,2025,41223_2025_70855,504,humanitarian,humanitarian,1
Ohne die Heimatvertriebenen wäre der Wiederaufbau unseres Landes nach dem Zweiten Weltkrieg so nicht gelungen.,"Without the expellees, the reconstruction of our country after the Second World War would not have succeeded.",601.1,,41521,2021,41521_2021_17150,601.1,cultural,cultural,1
Eine existentielle Frage wie die Zuwanderung muss in freier Selbstbestimmung auf nationaler Ebene entschieden werden.,An existential issue such as immigration must be decided freely at national level.,110,,41953,2025,41953_2025_1182,110,humanitarian,security,0
"Wir werden uns dafür einsetzen, dass Asylverfahren und Anträge auf subsidiären Schutz zukünftig außerhalb Deutschlands gestellt und bearbeitet werden",We will advocate for asylum procedures and applications for subsidiary protection to be filed and processed outside of Germany in the future,601.2,,41953,2025,41953_2025_1230,601.2,humanitarian,humanitarian,1
"Benachteiligte, wie Jugendliche ohne Schulabschluß, ausländische Jugendliche oder Lernbehinderte, haben ein eigenständiges Recht auf eine bundesweit anerkannte Ausbildung","Disadvantaged people, such as young people without school-leaving qualifications, foreign young people or people with learning disabilities, have an independent right to a nationally recognized education",706.0,,41113,1998,41113_1998_8215,706,humanitarian,humanitarian,1
Deutsch muss als Arbeitssprache im ersten Schuljahr für alle Migrantenkinder möglich sein.,German must be possible as a working language in the first school year for all migrant children.,608.0,,41320,2002,41320_2002_105531,608,cultural,cultural,1
"Für die ca. 50.000 Ostdeutschen, die als Heimkehrer oder ehemalige Zivildeportierte im Gegensatz zu den Westdeutschen keine Entschädigung erhalten hatten, muss Gerechtigkeit hergestellt werden.","Justice must be done for the approximately 50,000 East Germans who, as repatriates or former civilian deportees, had not received compensation, unlike West Germans.",503.0,,41521,2002,41521_2002_53001,503,humanitarian,humanitarian,1
Wir sind diese permanente Grenzüberschreitung leid.,We are tired of this permanent border crossing.,201.0,,41113,2013,41113_2013_34319,201,security,security,1
"Deutsches Recht schließt die Einreise zum Zweck der Asylgewährung aus, sofern Antragsteller aus einem sicheren Drittstaat einreisen.",German law excludes entry for the purpose of asylum if applicants enter from a safe third country.,601.2,,41953,2025,41953_2025_1206,601.2,security,security,1
"Um dem durch den demografischen Wandel bedingten Personalmangel entgegenzuwirken, werden wir die weltweite Anwerbung und Integration von Fachkräften ausbauen.","In order to counteract the staff shortage caused by demographic change, we will expand the global recruitment and integration of specialists.",504,,41320,2025,41320_2025_44066,504,economic,economic,1
"Staaten, die Flüchtlinge aufnehmen, sollen Unterstützung erhalten, zum Beispiel für den Ausbau von Gemeindeeinrichtungen, Schulen oder für die medizinische Versorgung.","States that take in refugees are to receive support, for example for the expansion of community facilities, schools or for medical care.",108,,41320,2017,41320_2017_10791,108,economic,humanitarian,0
"Den vielfältigen Beiträgen muslimischer Vereine und Verbände zu unserem Gemeinwesen – etwa zur Integration muslimischer Zuwanderer und ihrer Nachkommen in unsere Gesellschaft, wie auch zum Dialog zwischen den Kulturen und Religionen – gilt unsere Wertschätzung und Unterstützung.","We appreciate and support the manifold contributions of Muslim clubs and associations to our community - for example, to the integration of Muslim immigrants and their descendants into our society, as well as to the dialogue between cultures and religions.",607.0,,41521,2013,41521_2013_76963,607,cultural,cultural,1
"Alle, die auch eine andere Staatsangehörigkeit besitzen, müssen sich nicht mehr zwischen der einen oder der anderen entscheiden.",All those who also have another nationality no longer have to choose between one or the other.,607.2,,41113,2017,41113_2017_58012,607.2,cultural,cultural,1
Außerdem wollen wir die Einreisebedingungen für Auszubildende und Studierende aus afrikanischen Ländern in die EU erleichtern.,We also want to make it easier for trainees and students from African countries to enter the EU.,107,,41113,2017,41113_2017_57398,107,economic,economic,1
"Deshalb wollen wir die Qualität von Integrationskursen und Sprachförderung in Kitas verbessern,","That is why we want to improve the quality of integration courses and language support in daycare centers,",506.0,,41113,2013,41113_2013_34564,506,cultural,cultural,1
"Zudem sollen Eingewanderte und potenzielle Arbeitgeberinnen und Arbeitgeber einen Rechtsanspruch auf vorherige Beratung erhalten, sodass ihnen der Weg zur Anerkennung ihres Abschlusses konkret aufgezeigt wird.","In addition, immigrants and potential employers are to be given a legal right to prior counseling so that they can be specifically shown the path to recognition of their qualifications.",607.2,,41420,2017,41420_2017_12760,607.2,economic,economic,1
"Wir begrüßen die Zuwanderung qualifizierter Fachkräfte, sofern diese zum Erfolg unseres Landes sowie zur Stärkung des Wirtschaftsstandorts Deutschland beitragen können.","We welcome the immigration of qualified skilled workers, provided they can contribute to the success of our country and to strengthening Germany as a business location.",602.2,,41953,2025,41953_2025_1329,602.2,economic,economic,1
"Dazu zählen die speziellen Integrationskurse oder die Förderung von Müttern mit Zuwanderungsgeschichte, um deren Berufseinstieg zu ebnen.",These include special integration courses and support for immigrant mothers to help them enter the workforce.,607.2,,41521,2025,41521_2025_86815,607.2,cultural,cultural,1
Das Asylverfahren findet dann im aufnehmenden Mitgliedstaat statt.,The asylum procedure then takes place in the receiving Member State.,108,,41113,2021,41113_2021_94229,108,neutral,neutral,1
"Wir werden ein gemeinsames Informations- und Analysezentrums sowie gemeinsame Anti-Terror-Dateien von Polizei und Nachrichtendiensten schaffen, schärfere Sicherungsmaßnahmen zum Schutz vor dringend terrorverdächtigen Ausländern einführen, die Sympathiewerbung für kriminelle und terroristische Vereinigungen unter Strafe stellen, effektive Kronzeugenregelungen ermöglichen, die Erhebung und Speicherung von Telekommunikations- und Verbindungsdaten verbessern, eine Visa-Warndatei einführen, die Fachaufsicht für Visa-Erteilungen in die Zuständigkeit des Bundesinnenministeriums überführen und ausländische Straftäter konsequent abschieben.","We will create a joint information and analysis center as well as joint anti-terror files for the police and intelligence services, introduce stricter security measures to protect against foreigners urgently suspected of terrorism, criminalize sympathy advertising for criminal and terrorist organizations, enable effective leniency programs, improve the collection and storage of telecommunications and connection data, introduce a visa warning file, transfer the technical supervision of visa issuance to the responsibility of the Federal Ministry of the Interior, and consistently deport foreign criminals.",601.0,,41521,2005,41521_2005_2774,601,security,security,1
Im Falle eines positiven Ausgangs wird der sichere Drittstaat dem Antragsteller vor Ort Schutz gewähren.,"In the event of a positive outcome, the safe third country will grant the applicant protection on the spot.",601.2,,41521,2025,41521_2025_86169,601.2,humanitarian,humanitarian,1
Migrationsabkommen sollen auch bessere Lebensbedingungen vor Ort schaffen.,Migration agreements should also create better living conditions on the ground.,107,,41113,2025,41113_2025_20155,107,humanitarian,humanitarian,1
"Um die „Grüne Grenze“ mit derselben Effektivität überwachen zu können, wird ein umfassendes und modernes Grenzsicherungskonzept erarbeitet.","In order to be able to monitor the ""green border"" with the same effectiveness, a comprehensive and modern border security concept is being developed.",104,,41953,2021,41953_2021_83832,104,security,security,1
"Etwa durch Vereinfachung von finanziellen Transfers („Rücküberweisungen“) und die Möglichkeit, durch längeren Aufenthalt im Herkunftsland die wirtschaftliche Situation vor Ort positiv zu beeinflussen, ohne dabei aufenthaltsrechtliche Konsequenzen in Kauf nehmen zu müssen.","For example, by simplifying financial transfers (""remittances"") and the possibility of positively influencing the local economic situation by staying in the country of origin for a longer period of time without having to accept the consequences under residence law.",107.0,,41113,2013,41113_2013_35626,107,economic,economic,1
Eine Einwanderungsgesellschaft muss Perspektiven schaffen und Ankommen ermöglichen.,An immigration society must create prospects and enable people to arrive.,602.2,,41113,2025,41113_2025_20048,602.2,humanitarian,humanitarian,1
"Wer im Internet kriminelle Parolen veröffentlicht und zu Gewalt gegen Jüdinnen und Juden, Ausländer und Ausländerinnen oder andere aufruft, muss konsequent zur Rechenschaft gezogen werden.","Anyone who publishes criminal slogans on the Internet and incites violence against Jews, foreigners or others must be consistently held accountable.",605.1,,41320,2017,41320_2017_10740,605.1,security,security,1
"Mit uns in der Bundes regierung wird es keine Abschiebungen in Krisenregionen geben, die so unsicher sind wie zum Beispiel Afghanistan momentan.","With us in the federal government, there will be no deportations to crisis regions that are as unsafe as Afghanistan is at the moment, for example.",201.2,,41113,2017,41113_2017_57799,201.2,humanitarian,humanitarian,1
Eine schnelle Bearbeitung von Asylanträgen darf nicht zu Rechtsschutzeinschränkungen führen.,Fast processing of asylum applications must not lead to restrictions on legal protection.,201.2,,41912,2025,41912_2025_24104,201.2,humanitarian,humanitarian,1
"Integration ist der Schlüssel dafür, dass Einwanderinnen und Einwanderer zu einem Teil unserer Gesellschaft werden und zu ihrem Gelingen beitragen.",Integration is the key to immigrants becoming a part of our society and contributing to its success.,608.2,,41420,2021,41420_2021_62542,608.2,cultural,cultural,1
Nationale und kulturelle Grenzen werden zunehmend durchlässig und die Menschen können leichter miteinander in Kontakt treten.,National and cultural borders are becoming increasingly permeable and people can more easily get in touch with each other.,607.0,,41113,2005,41113_2005_98477,607,cultural,cultural,1
"Die Politik hat vor der Aufgabe, diesen Widerspruch aufzulösen, kapituliert – getrieben von einer mächtigen Anti-Abschiebe-Industrie.",Politicians have capitulated to the task of resolving this contradiction - driven by a powerful anti-deportation industry.,601.2,,41953,2021,41953_2021_83864,601.2,security,security,1
Eindeutige Kriterien für die Erlangung deutscher Staatsbürgerschaft sind nun gesetzlich festgelegt.,Clear criteria for obtaining German citizenship are now laid down by law.,303.0,,41320,2002,41320_2002_106506,303,cultural,cultural,1
"DIE LINKE steht für offene Grenzen für alle Menschen in einem solidarischen Europa, das sich nicht abschottet.",DIE LINKE stands for open borders for all people in a Europe of solidarity that does not seal itself off.,602.2,,41223,2021,41223_2021_39938,602.2,cultural,humanitarian,0
Opfer von Menschenhandel sollen ein sicheres Bleiberecht bekommen.,Victims of human trafficking should be given a secure right to stay.,201.2,,41113,2021,41113_2021_93384,201.2,humanitarian,humanitarian,1
Einbürgerung erleichtern,Facilitate naturalization,H,,41113,2021,41113_2021_93323,H,cultural,cultural,1
Durch ein unabhängiges Monitoring und eine Stärkung der Kontrollrechte des Europäischen Parlaments wollen wir Arbeit der EU- Grenzschutzagentur Frontex überwachen,We want to monitor the work of the EU border protection agency Frontex through independent monitoring and by strengthening the European Parliament's rights of scrutiny,201.2,,41320,2025,41320_2025_44830,201.2,security,security,1
"Wir schlagen vor, zusammen mit der neuen US-Administration und Kanada sowie anderen in einer globalen humanitären Partnerschaft die Aufnahme aus dem Resettlement-Programm deutlich auszubauen und mittelfristig die Erfüllung von mindestens dem jeweils fairen Anteil am jährlichen, vom UNHCR ermittelten Resettlement-Bedarf entsprechend der Wirtschaftskraft zu erreichen.","We propose to work with the new U.S. administration and Canada and others in a global humanitarian partnership to significantly expand resettlement admissions and to achieve, in the medium term, the fulfillment of at least each country's fair share of annual resettlement needs as determined by UNHCR, commensurate with economic strength.",107,,41113,2021,41113_2021_94253,107,humanitarian,humanitarian,1
"Eine von Solidarität geprägte europäische Flüchtlings- und Asylpolitik darf einzelne Mitgliedstaaten nicht mit dem finanziellen, logistischen und administrativen Aufwand alleine lassen.","A European refugee and asylum policy characterized by solidarity must not leave individual member states alone with the financial, logistical and administrative burden.",107.0,,41952,2013,41952_2013_89777,107,humanitarian,humanitarian,1
"Abschiebung 4, 75, 92, 93","Deportation 4, 75, 92, 93",,,41953,2021,41953_2021_84914,,neutral,neutral,1
"Vor allem Geringqualifizierten, Alleinerziehenden, Migrantinnen und Migranten, Menschen mit Behinderungen, Jüngeren und Älteren wollen wir neue Chancen eröffnen.","Above all, we want to open up new opportunities for the low-skilled, single parents, migrants, people with disabilities, younger and older people.",503.0,,41113,2013,41113_2013_32196,503,economic,economic,1
Verhängung der Ausweisung bereits durch die Strafgerichte,Expulsion already imposed by the criminal courts,605.1,,41953,2017,41953_2017_45522,605.1,security,security,1
Die hohe Zahl der Widerrufsverfahren gegen positive Asylbescheide durch das Bundesamt für Flüchtlinge und Migration (BAMF) ist ein humanitärer und integrationspolitischer Skandal.,The high number of revocation proceedings against positive asylum decisions by the Federal Office for Refugees and Migration (BAMF) is a humanitarian and integration policy scandal.,201.0,,41113,2009,41113_2009_5527,201,humanitarian,humanitarian,1
Migration und Wohnungsmarkt,Migration and the housing market,H,,41953,2025,41953_2025_1324,H,neutral,neutral,1
Die FDP hat als erste Partei bereits zu Beginn der Legislaturperiode einen Gesetzentwurf zur Regelung der Zuwanderung und Integration in den Bundestag eingebracht und diesen unter Einbeziehung der Ergebnisse der „Unabhängigen Kommission Zuwanderung'' fortentwickelt.,"The FDP was the first party to introduce a bill to regulate immigration and integration in the Bundestag at the beginning of the legislative period and has continued to develop it, taking into account the results of the ""Independent Commission on Immigration"".",305.0,,41420,2002,41420_2002_101153,305,cultural,cultural,1
5.5 Zuflucht in der Herkunftsregion statt ungebremster Massenmigration nach Deutschland,5.5 Refuge in the region of origin instead of unchecked mass migration to Germany,H,,41953,2017,41953_2017_45634,H,security,security,1
Wir freuen uns über die Gründungsbereitschaft von Menschen mit Zuwanderungsgeschichte.,We are pleased about the willingness of migrant people to found a company.,602.2,,41521,2021,41521_2021_17142,602.2,economic,economic,1
"Die F.D.P. will nicht mehr Zuwanderung, sondern mehr Kontrolle über Zuwanderung","The F.D.P. doesnot want more immigration, but more control over immigration",608.0,,41420,1998,41420_1998_51654,608,security,security,1
"Wir erwarten von Zuwandernden, dass sie die deutsche Sprache erlernen.",We expect immigrants to learn the German language.,608.0,,41521,2013,41521_2013_75900,608,cultural,cultural,1
"Regelungen zu vermeintlich sicheren Dritt- und Herkunftsstaaten, die Ablehnung und Abschiebung von Schutzsuchenden ohne wirksame Einzelfallprüfung ermöglichen, lehnen wir ab.",We reject regulations on supposedly safe third countries and countries of origin that allow for the rejection and deportation of protection seekers without effective case-by-case assessment.,201.2,,41223,2017,41223_2017_82574,201.2,humanitarian,humanitarian,1
"Zahlreiche junge Menschen im Osten, gerade hoch qualifizierte Frauen, sehen für sich keine Chance, spüren gesellschaftliche Blockaden und wandern ab.","Many young people in the East, especially highly qualified women, see no opportunities for themselves, feel social blockades and emigrate.",408.0,,41113,2009,41113_2009_5870,408,economic,economic,1
"Schaut man auf Unterschiede bei Lohn und Rente, auf Spitzenfunktionen und Vermögen, auf Armut oder Abwanderung – der alte Grenzverlauf zwischen West- und Ostdeutschland tritt weiterhin hervor.","If one looks at differences in wages and pensions, at top functions and assets, at poverty or emigration - the old borderline between West and East Germany continues to stand out.",503,,41223,2021,41223_2021_38848,503,economic,economic,1
Es braucht einen Kurswechsel: Das Grundrecht auf Asyl muss in seiner Substanz wiederhergestellt werden.,A change of course is needed: the substance of the fundamental right to asylum must be restored.,201.2,,41223,2017,41223_2017_82573,201.2,humanitarian,humanitarian,1
Wir wollen die Europäische Grenzschutzagentur FRONTEX zu einer echten Grenzpolizei und Küstenwache mit hoheitlichen Befugnissen ausbauen.,We want to develop the European Border Management Agency FRONTEX into a genuine border police and coast guard with sovereign powers.,104,,41521,2021,41521_2021_14682,104,security,security,1
